school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,school_id,avg_home_attendance,attendance_sd,home_games,home_wins,home_win_pct,lyrics_song_name,lyrics,latitude,longitude,primary_bucket,secondary_bucket,score_aggression,score_unity,score_tradition,score_chant_cheer,score_institutional,score_competitive_glory,lex_aggression_freq,lex_unity_freq,lex_tradition_freq,lex_chant_cheer_freq,lex_institutional_freq,lex_competitive_glory_freq
Colorado,Pac-12,Fight CU,Richard Durnett,,0,1,0,151,27,1,8,1,1,1,0,0,0,0,0,1,4,0Q3VKlBT4lugyLG5n9LKIz,colorado,36810.62,20731.04,143,74,0.5175,Fight CU,"Fight CU down the field,

CU must win

Fight, fight for victory

CU knows no defeat

We'll roll up a mighty score

Never give in

Shoulder to shoulder

We will fight, fight

Fight, fight, fight!",40.0073,105.266,Aggression/Conflict,,6.453121580771456,0.45714285714285713,1.5076157754761879,0.13392583604573663,0.5,0.04285714285714315,0.2857142857142857,0.05714285714285714,0.0,0.0,0.0,0.08571428571428572
Oregon State,Pac-12,Hail to Old OSU,Harold Wilkins,1914.0,0,1,0,137,63,1,2,0,0,0,0,0,0,0,0,1,2,4IV43tyrxewZDmBMp2rtHh,oregon_state,29137.98,16599.26,148,90,0.6081,Hail to Old OSU,"OSU our hats are off to you,

Beavers, Beavers fighters thru and thru.

We'll cheer throughout the land,

We'll root for ev'ry plan,

(LET’S X GO X O-S-U!)

Watch our team go tearing down the field,

Those of iron their strength will never yield.

Hail, hail, hail, hail,

Hail to old OSU.

(OSU Fight! B-E-A-V-E-R-S)",44.5618,123.2823,Tradition/Legacy,Aggression/Conflict,2.315803380971353,0.6349206349206349,2.6413344311385942,0.8113728635072411,0.5,-1.626984126984127,0.031746031746031744,0.07936507936507936,0.09523809523809523,0.09523809523809523,0.0,0.0
Stanford,Pac-12,Come Join the Band,"Aurania Ellerbeck Rouverol, Robert Browne Hall",1907.0,1,1,0,135,63,0,0,0,1,1,0,0,1,1,0,0,3,3Zw53YIiVtdcQBmwbBQ2JS,stanford,31461.08,19346.31,144,84,0.5833,Come Join the Band,"Come, join the band,

And give a cheer for Stanford red;

Throughout the land

Our banner waving overhead;

Stanford, for you,

Each loyal comrade brave and true,

With might and main sings this refrain,

“Forever and forever Stanford red.”

After the game,

When Stanford red has won the day,

Praising her name

Down on the field we’ll force our way

And on the green

Each man who joins the serpentine

With might and main sings this refrain.

“Forever and forever Stanford red.”",37.4277,122.1701,Tradition/Legacy,Unity/Brotherhood,1.1443143643194165,2.475609756097561,2.47686091352712,0.1349636865774843,2.475609756097561,1.048780487804878,0.012195121951219513,0.12195121951219512,0.07317073170731707,0.012195121951219513,0.12195121951219512,0.012195121951219513
Utah,Pac-12,Utah Man,Harvey Holmes and the football team,1904.0,0,1,0,168,66,1,1,0,0,0,0,1,1,1,0,0,4,5pwoauvjUb3aRkDDvibaco,utah,35349.27,19913.44,143,110,0.7692,Utah Man,"I am a Utah man (fan), sir, and I live across the green,

Our gang it is the jolliest that you have ever seen.

Our students are the finest and each one's a shining star,

Our yell, you'll hear it ringing through the mountains near and far!

Who am I, sir,

A Utah man (fan) am I!

A Utah man (fan), sir,

Will be 'til I die.

Ki-yi!

We're up to snuff, we never bluff, we're game for any fuss.

No rival band of college fans dare meet us in The Muss.

So fill your lungs and sing it out and shout it to the sky,

We'll fight for dear old crimson for a Utah man (fan) am I!

Ki-yi!

And when we prom the avenue,

All lined up in a row, and arm in arm,

And step in time as down the street we go.

No matter if a freshman green, or in a senior's gown,

the people all admit we are the warmest gang in town.

We may not live forever on this jolly good sphere,

But while we do we'll live a life of merriment and cheer,

And when our college days are o'er and night is drawing nigh,

With parting breath we'll sing that song: “A Utah man (fan) Am I.”",40.7649,111.8421,Aggression/Conflict,Unity/Brotherhood,2.36933478944541,2.3110599078341014,1.8638278987927417,1.457679813123148,1.794930875576037,-1.5368663594470047,0.009216589861751152,0.10138248847926268,0.018433179723502304,0.027649769585253458,0.03686635944700461,0.0
Washington State,Pac-12,The Fight Song,Zella Melcher and Phyllis Sayles,1919.0,1,1,0,81,64,1,7,1,1,1,0,0,1,0,0,1,5,5VErX42t9bSJGas8aOtQyD,washington_state,23990.65,14009.35,144,81,0.5625,The Fight Song,"Fight, fight, fight for Washington State

Win the victory,

Win the day for Crimson and Gray!

Best in the West,

We know you'll all do your best,

So on, on, on, on!

Fight to the end!

Honor and glory you must win!

So fight, fight, fight for Washington State and

Victory!

W-A-S-H-I-N-G-T-O-N

S-T-A-T-E

C-O-U-G-S

Go Cougs!",46.7289,117.1468,Aggression/Conflict,,4.406669742458044,0.7191780821917808,2.4444208047351537,-0.28836283617055025,1.9383561643835616,1.1027397260273972,0.0958904109589041,0.0273972602739726,0.0273972602739726,0.0,0.0547945205479452,0.1232876712328767
Alabama,SEC,Yea Alabama,Ethelred Lundy (Epp) Sykes,1926.0,1,1,1,153,59,1,3,1,1,1,0,0,1,1,1,0,6,1lkKK6lbsPYD6n5QZbiH1q,alabama,74266.93,40369.38,167,144,0.8623,Yea Alabama,"Yea, Alabama! Drown 'em Tide!

Every 'Bama man's behind you,

Hit your stride.

Go teach the Bulldogs to behave,

Send the Yellow Jackets to a watery grave.

And if a man starts to weaken,

That's a shame!

For Bama's pluck and grit have

Writ her name in Crimson flame.

Fight on, fight on, fight on men!

Remember the Rose Bowl, we'll win then.

Go, roll to victory,

Hit your stride,

You're Dixie's football pride,

Crimson Tide, Roll Tide, Roll Tide!!",33.2114,87.5401,Aggression/Conflict,,6.18248903335061,1.1,1.7509780820097811,0.24599122668048767,1.65,0.5499999999999998,0.0625,0.0125,0.0,0.0125,0.05,0.0375
Arkansas,SEC,Arkansas Fight,William Edwin Douglass,1913.0,1,1,0,77,88,1,3,0,0,0,1,0,0,0,0,1,3,20iLjYvQOdAO3lPYkfycGn,arkansas,51457.77,27856.15,160,96,0.6,Arkansas Fight,"Hit that line! Hit that line!

Keep on going!

Move that ball right down the field!

Give a cheer. Rah! Rah!

Never fear. Rah! Rah!

Arkansas will never yield!

On your toes, Razorbacks, to the finish,

Carry on with all your might!

For it’s A-A-A-R-K-A-N-S-A-S

for Arkansas!

Fight! Fight! Fi-i-i-ight!",36.0687,94.1748,Aggression/Conflict,Tradition/Legacy,2.5126087846515475,0.12903225806451613,2.4409442766891334,1.8326676728825282,0.7580645161290323,-1.9516129032258065,0.11290322580645161,0.016129032258064516,0.0,0.08064516129032258,0.03225806451612903,0.0
Auburn,SEC,War Eagle,Robert Allen and Al Stillman,1955.0,0,1,0,77,27,1,1,1,1,1,0,0,1,0,0,0,4,1WSPADIiYIO5GfNTJ2vwnM,auburn,64682.55,36500.45,172,127,0.7384,War Eagle,"War Eagle, fly down the field,

Ever to conquer, never to yield.

War Eagle, fearless and true.

Fight on you orange and blue.

Go! Go! Go!

On to vict'ry, strike up the band.

Give 'em hell, give 'em hell,

Stand up and yell, hey!

War Eagle, win for Auburn,

Power of Dixieland!",32.5981,85.4943,Aggression/Conflict,,4.840152208969165,1.1153846153846154,2.261727536654284,-0.00480130974774462,1.9615384615384617,0.038461538461538325,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.019230769230769232
Florida,SEC,The Orange and Blue,George Hamilton and Thornton Whitney Allen,1925.0,0,1,0,71,66,1,1,0,0,0,0,0,1,0,0,0,2,15yyBZUfgNbft50mMB7a4V,florida,65545.55,37599.94,157,122,0.7771,The Orange and Blue,"So give a cheer for the Orange and Blue

Waving Forever!

Forever pride of Old Florida,

May she droop never.

We’ll sing a song for the flag today,

Cheer for the team at play!

On to the goal,

We’ll fight our way for

Flor-i-da!

Go Gators!",29.6465,82.3533,Tradition/Legacy,,1.7308044299862846,1.5,2.8015339067901497,0.31797687732236113,2.0,-1.4166666666666665,0.020833333333333332,0.125,0.0625,0.08333333333333333,0.0625,0.020833333333333332
Georgia,SEC,"Glory, Glory","Hugh Hodgson, based on traditional song",1915.0,1,0,0,162,41,0,0,0,0,0,0,0,0,0,0,1,1,7masdC1Jz6f4okFu4tAwOz,georgia,71204.98,38116.4,153,129,0.8431,"Glory, Glory","Glory, glory to old Georgia!

Glory, glory to old Georgia!

Glory, glory to old Georgia!

G-E-O-R-G-I-A.

Glory, glory to old Georgia!

Glory, glory to old Georgia!

Glory, glory to old Georgia!

G-E-O-R-G-I-A.",33.9423,83.3724,Tradition/Legacy,,0.25035685567108423,0.0,2.8257330172234805,0.2002854845368674,1.0909090909090908,2.1818181818181817,0.0,0.0,0.4090909090909091,0.0,0.13636363636363635,0.2727272727272727
Kentucky,SEC,On! On! U of K,Troy Perkins and Charles A. Lampert,1923.0,1,1,1,79,52,1,4,1,1,1,0,0,1,0,0,1,5,6QMYhg8EaZm7P1n4FZrCWB,kentucky,46409.14,25123.44,168,94,0.5595,On! On! U of K,"On, on, U of K, we are right for the fight today,

Hold that ball and hit that line;

Ev'ry Wildcat star will shine;

We'll fight, fight, fight, for the blue and white

As we roll to that goal, Varsity,

And we'll kick, pass and run, 'till the battle is won,

And we'll bring home the victory.",38.0307,84.504,Aggression/Conflict,,4.60692085684425,1.2017543859649122,2.141522726739995,-0.3004282268053013,1.780701754385965,0.2894736842105263,0.12280701754385964,0.08771929824561403,0.0,0.0,0.03508771929824561,0.03508771929824561
LSU,SEC,Fight for LSU,Castro Carazo and W.G. Higginbotham,1937.0,0,1,0,168,83,1,5,0,1,1,1,0,1,0,0,1,5,5AeAxCC07c4eyWY8eKopQ4,lsu,74161.08,39832.21,170,144,0.8471,Fight for LSU,"Like Knights of old, Let's fight to hold

The glory of the Purple Gold.

Let's carry through, Let's die or do

To win the game for dear old LSU.

Keep trying for that high score;

Come on and fight,

We want some more, some more.

Come on you Tigers, Fight! Fight! Fight!

for dear old L-S-U.

RAH!",30.4102,91.1857,Aggression/Conflict,,3.973568172246316,0.635593220338983,2.6656177471593048,1.8720748767801036,1.9067796610169492,-0.5677966101694916,0.0847457627118644,0.01694915254237288,0.1016949152542373,0.01694915254237288,0.05084745762711865,0.03389830508474576
Mississippi,SEC,Forward Rebels,E.F. Yerby,,0,1,0,153,65,1,6,1,1,1,0,0,1,0,0,0,4,301ClIQs4cI8poO11mklxg,mississippi,44643.7,24284.98,161,103,0.6398,Forward Rebels,"Forward Rebels, march to fame,

Hit that line and win this game,

We know that you'll fight it through,

For your colors Red and Blue — Fight, Fight, Fight.

Rebels you're the Southland's pride,

Take that ball and hit your stride,

Don't stop 'till the victory's won,

For your Ole Miss.

Fight, fight for your Ole Miss.",34.3662,89.538,Aggression/Conflict,,5.468203319064895,0.6428571428571428,1.9417279180859883,0.14599122668048767,1.7857142857142856,0.42857142857142827,0.16071428571428573,0.017857142857142856,0.017857142857142856,0.0,0.03571428571428571,0.07142857142857142
Mississippi State,SEC,Hail State,Joseph Peavey,1936.0,0,1,1,146,54,1,2,1,1,1,0,0,0,0,0,1,4,3WN6SK7WfjUSRDFH4PlMNV,mississippi_state,40681.77,22583.5,158,88,0.557,Hail State,"Hail dear ol' State!

Fight for that victory today.

Hit that line and tote that ball,

Cross the goal before you fall!

And then we'll yell, yell, yell, yell!

For dear ol' State

we'll yell like H-E-L-L!

Fight for Mis-sis-sip-pi State,

Win that game today!",33.4577,88.7942,Aggression/Conflict,,4.75715392971573,0.3137254901960784,2.223884606842974,1.2018015751451336,0.5,0.4999999999999998,0.0784313725490196,0.0392156862745098,0.058823529411764705,0.13725490196078433,0.0,0.0392156862745098
Missouri,SEC,Fight Tiger,Donald MacKay and Robert Karsch,1946.0,1,1,1,138,86,1,4,1,1,1,0,0,0,0,0,0,3,4nrVmzJetWGvMa3OKGJm2Q,missouri,45135.54,24370.44,157,111,0.707,Fight Tiger,"Fight, Tiger, fight for old Mizzou,

Right behind you, everyone is with you.

Break the line and follow down the field,

And, you’ll be, on the top, upon the top.

Fight, Tiger, you will always win,

Proudly keep the colors flying skyward.

In the end, we’ll win the victory,

So Tiger, fight for Old Mizzou!
",38.9404,92.3277,Aggression/Conflict,,4.942103268877092,0.43636363636363634,2.493349267619841,0.05550079691985478,0.5,0.5000000000000002,0.10909090909090909,0.05454545454545454,0.05454545454545454,0.0,0.0,0.05454545454545454
South Carolina,SEC,The Fighting Gamecocks Lead the Way (Step to the Rear),"Paul Dietzel and Elmer Bernstein, arranged by James Pritchard",1968.0,0,1,0,153,64,1,4,0,1,1,0,0,1,0,0,1,4,65X66oBRmSp8gDkoRGbLjD,south_carolina,60622.01,32797.41,163,110,0.6748,The Fighting Gamecocks Lead the Way (Step to the Rear),"Hey, Let’s give a cheer, Carolina is here,

The Fighting Gamecocks lead the way.

Who gives a care, If the going gets tough,

And when it is rough, that’s when the ‘Cocks get going.

Hail to our colors of garnet and black,

In Carolina pride have we.

So, Go Gamecocks Go - FIGHT!

Drive for the goal - FIGHT!

USC will win today - GO COCKS!

So, let’s give a cheer, Carolina is here.

The Fighting Gamecocks All The Way",33.9949,81.0285,Aggression/Conflict,,3.4941773450389215,0.8116883116883117,1.8947847635884387,0.5615756422649033,2.0194805194805197,-0.448051948051948,0.03896103896103896,0.03896103896103896,0.012987012987012988,0.05194805194805195,0.06493506493506493,0.025974025974025976
Tennessee,SEC,Rocky Top,Felice and Boudleaux Bryant,1967.0,0,0,0,149,53,0,0,0,0,0,0,0,0,0,0,0,0,5BRY9YO0PDey8RQcDOV9aP,tennessee,74566.57,42250.25,169,115,0.6805,Rocky Top,"Wish that I was on ol’ Rocky Top

Down in the Tennessee hills

Ain’t no smoggy smoke on Rocky Top

Ain’t no telephone bills

Once I had a girl on Rocky Top

Half bear, the other half cat

Wild as a mink, but sweet as soda pop

I still dream about that

Rocky Top you’ll always be

Home sweet home to me

Good ol’ Rocky Top

Rocky Top Tennessee, Rocky Top Tennessee",35.9544,83.9295,School Pride,Aggression/Conflict,0.26343666787484304,0.1111111111111111,-0.16167271882867018,0.12186044541098556,0.3333333333333333,-0.05555555555555555,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.041666666666666664,0.0
Texas A&M,SEC,Aggie War Hymn,J.V. “Pinky” Wilson,1918.0,1,0,1,117,172,1,1,0,0,0,0,1,0,1,1,0,4,4mssGSMkmNIv0XR5e6j9Ky,texas_aandm,71036.76,39059.78,160,111,0.6938,Aggie War Hymn,"Hullabaloo, Caneck, Caneck

Hullabaloo, Caneck, Caneck

Good bye to Texas University

So long to the orange and the white

Good luck to dear old Texas Aggies

They are the boys who show the real old fight

'the eyes of Texas are upon you'

That is the song they sing so well

Sounds Like Hell

So good bye to Texas University

We're gonna beat you all to

Chigaroogarem

Chigaroogarem

Rough, Tough, Real stuff, Texas A&M;

Saw varsity's horns off

Saw varsity's horns off

Saw varsity's horns off

Short! A!

Varsity's horns are sawed off

Varsity's horns are sawed off

Varsity's horns are sawed off

Short! A!
",30.6187,96.3364,Aggression/Conflict,,3.6374328384083334,0.6509433962264151,1.0965492634006386,1.0797575914813837,0.5801886792452831,-1.6132075471698113,0.02830188679245283,0.018867924528301886,0.02830188679245283,0.018867924528301886,0.10377358490566038,0.0
Vanderbilt,SEC,Dynamite,Francis Craig,1941.0,0,1,0,72,45,1,3,1,1,1,0,0,0,0,0,0,3,5tXWqJHiTDHRYtOngsBPAW,vanderbilt,24329.07,14201.87,156,63,0.4038,Dynamite,"Dynamite, Dynamite

When VANDY starts to fight.

Down the field with blood to yield,

If need be, save the shield.

If vict'ry's won, when battle's done,

Then VANDY's name will rise in fame.

Win not lose,

It's ours to choose,

And VANDY's game will be the same.

Dynamite, Dynamite

When VANDY starts to fight!

Fight!",36.1447,86.8027,Aggression/Conflict,,4.1534968142845194,0.0,2.273331330660594,-0.34265709402693,0.5,0.6454545454545456,0.07272727272727272,0.0,0.01818181818181818,0.0,0.0,0.05454545454545454
