school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,school_id,avg_home_attendance,attendance_sd,home_games,home_wins,home_win_pct,lyrics_song_name,lyrics,latitude,longitude
Virginia Tech,ACC,Tech Triumph,Wilfred P. Maddux and Mattie Eppes,1919.0,1,1,0,133,71,0,0,0,1,1,0,1,1,1,0,1,5,5v3wGg8VMD8MMYGb8SXBss,virginia_tech,46965.46,28029.29,156,112,0.7179,Tech Triumph,"Techmen, we're Techmen, with spirit true and faithful,
Backing up our teams with hopes undying;
Techmen, Oh, Techmen, we're out to win today,
Showing pep and life with which we're trying;
V.P., old V.P., you know our hearts are with you
In our luck which never seems to die;
Win or lose, we'll greet you with a glad returning,
You're the pride of V.P.I.

Just watch our men so big and active
Support the Orange and Maroon. Let's go Techs.
We know our ends and backs are stronger,
With winning hopes, we fear defeat no longer.
To see our team plow through the line, boys.
Determined now to win or die:
So give a Hokie, Hokie, Hokie, Hi,
Rae, Ri, old V.P.I.

Fight, men, oh, fight, men, we're going to be the champions
Adding to our list another victory;
Football or baseball, the games in which we star,
They're the sports which made old VP famous.
Hold'em, just hold'em, you know the Corps' behind you
Watching every movement that you make.
Winning games was nothing for our teams before you --
Keep the ""rep"" for VP's sake.",37.2284,80.4234
Wake Forest,ACC,O Here's To Wake Forest,C.P. Weaver,1908.0,0,1,0,146,69,0,0,0,0,0,1,0,1,1,0,0,3,3u6THWNCTIdCcGIcJ1FQsN,wake_forest,22006.97,12436.41,152,84,0.5526,O Here's To Wake Forest,"
Oh, here's to Wake Forest
A glass of the finest
Red ruddy, Rhenish filled up to the brim
Her sons, they are many
Unrivaled by any
With hearts o'erflowing
We will sing a hymn


Rah! Rah! Wake Forest, rah!
Old Alma Mater's sons are we!
We'll herald the story
And die for her glory
Old Gold and Black is ever waving high


As frosh we adore her
As sophs we explore her
And carve our names upon her ancient walls
As juniors patrol her
As seniors extol her
And weep to leave fore'er her sacred halls


Rah! Rah! Wake Forest, rah!
Old Alma Mater's sons are we!
We'll herald the story
And die for her glory
Old Gold and Black is ever waving high
See pop shows near Chicago
Get tickets as low as $133

You might also like
Spirit of the Old Gold and Black
Wake Forest University
Dear Old Wake Forest
Wake Forest University
Last Christmas
Wham!


Though fortune forsake us
And fate o'ertake us
We'll ne'er forget our dear old college days
And o'er memory's treasure
We'll drink without measure
And sing fore'er our Alma Mater's praise


Rah! Rah! Wake Forest, rah!
Old Alma Mater's sons are we!
We'll herald the story
And die for her glory
Old Gold and Black is ever waving high",35.9799,78.5097
Baylor,Big 12,Old Fight,Dick Baker and Frank Boggs,1947.0,1,1,0,76,99,1,4,1,1,1,0,0,1,0,0,1,5,2ZsaI0Cu4nz8DHfBkPt0Dl,baylor,31910.19,17749.63,140,79,0.5643,Old Fight,"Bear down you Bears of Old Baylor U We're all for you!
GO BEARS!

We're gonna show dear old Baylor spirit through and through!
GO BEARS!

Come on and fight them with all your might you bruins bold
And win all our victories for the Green and Gold!

B! A! Y! L! O! R! BAYLOR! BEARS! FIGHT!

Come on and fight them with all your might you bruins bold
And win all our victories for the Green and Gold!

B-A-Y-L-O-R BAYLOR BEARS FIGHT!",31.5501,97.1135
Iowa State,Big 12,Iowa State Fights,"Jack Barker, Manly Rice, Paul Gnam, Rosalind K. Cook",1930.0,1,1,0,155,55,1,5,0,0,0,1,0,0,1,0,1,4,3yyfoOXZQCtR6pfRJqu9pl,iowa_state,41167.6,22644.26,156,86,0.5513,Iowa State Fights,"O we will fight, fight, fight for Iowa State,
And may her colors ever fly.
Yes, we will fight with might for Iowa State,
With a will to do or die,
Rah! Rah! Rah!
Loyal sons forever true,
And we will fight the battle through.
And when we hit that line we'll hit it hard
every yard for I.S.U.",42.0267,93.6465
Kansas,Big 12,I'm a Jayhawk,"George ""Dumpy"" Bowles",1912.0,1,1,0,137,62,0,0,0,0,0,0,1,0,1,1,0,3,0JzbjZgcjugS0dmPjF9R89,kansas,27581.85,18549.84,148,67,0.4527,I'm a Jayhawk,"Talk about the sooners the Aggies and the braves,
Talk about the tiger and his tail,
Talk about the huskers, those old cornhuskin' boys,
But I'm a bird to make 'em weep and wail.
'Cause I'm a jay, jay, jay, jay, jayhawk
up at Lawrence on the Kaw
'Cause I'm a jay, jay, jay, jay, jayhawk,
With a sis-boom hip hoorah.

Got a bill that's big enough to twist the tiger's tail,
Husk some corn and listen to the cornhusker's wail
'Cause I'm a jay, jay, jay, jay, jayhawk,
Riding on a Kansas gale.

'Cause I'm a jay, jay, jay, jay, jayhawk
up at Lawrence on the Kaw
'Cause I'm a jay, jay, jay, jay, jayhawk,
With a sis-boom hip hoorah.

Got a bill that's big enough to twist the tiger's tail,
Husk some corn and listen to the cornhusker's wail
'Cause I'm a jay, jay, jay, jay, jayhawk,
Riding on a Kansas gale, and that's our team.

Perhaps the most popular fight song is K.U.'s own ""I'm a Jayhawk."" George ""Dumpy"" Bowles, a student witht he Class of 1912, produced some outstanding student musical shows. a song in one of these shows was ""I'm a Jayhawk."" Written in 1912, it was dormant until 1920 when a great uprising of school spirit brought out ""I'm a Jayhawk"" once more. The song contributed to the raising of funds to build both the stadium and union as World War I memorials. The 1926 glee club made it known nationally.

From the KU traditions page (Revised in Fall 2010 due to changes in the Big XII; new lyrics by Matt Schoenfeld)

Talk about the Sooners, Cowboys and the Bears,
Aggies and the Tiger and his tail.
Talk about the Wildcats, and the Cyclone boys,
But I'm the bird to make 'em weep and wail

'Cause I'm a Jay, Jay, Jay, Jay, Jayhawk,
Up at Lawrence on the Kaw–
'Cause I'm a Jay, Jay, Jay, Jay, Jayhawk,
With a sis-boom, hip hoorah,

Got a bill that's big enough
To twist a Tiger's tail,
Rope some 'Horns and listen
To the Red Raiders wail–
'Cause I'm a Jay, Jay, Jay, Jay, Jayhawk,
Riding on a Kansas gale.",38.9543,95.2558
Kansas State,Big 12,Wildcat Victory,Harry E. Erickson,1927.0,1,1,0,80,67,1,6,1,0,1,0,0,1,0,0,0,3,4xxDK4g1OHhZ44sTFy8Ktm,kansas_state,38961.12,20329.6,162,117,0.7222,Wildcat Victory,"Fight, you K-State Wildcats
For Alma Mater, fight, fight, fight!
Glory in the combat
For the Purple and the White
Faithful to our colors
We will ever be
Fighting ever fighting for a​
Wildcat victory!
Go, State!",39.1974,96.5847
Oklahoma,Big 12,Boomer Sooner,Arthur M. Alden,1905.0,1,1,0,153,37,0,0,0,0,0,1,0,0,0,0,1,2,0QXC8Gg1oKWkORegslTXoT,oklahoma,64344.61,34449.05,154,137,0.8896,Boomer Sooner,"
Boomer Sooner, Boomer Sooner
Boomer Sooner, Boomer Sooner
Boomer Sooner, Boomer Sooner
Boomer Sooner, OK U

Oklahoma, Oklahoma
Oklahoma, Oklahoma
Oklahoma, Oklahoma
Oklahoma, OK U

I'm a Sooner born and Sooner bred
And when I die, I'll be Sooner dead
Rah, Oklahoma, rah, Oklahoma
Rah, Oklahoma, OK U",35.1987,97.4449
Oklahoma State,Big 12,Ride 'Em Cowboys,J.K. Long,1934.0,0,1,0,180,29,1,5,1,0,1,0,0,0,1,1,0,4,0mTJqaacUZPG740Y1YDn5j,oklahoma_state,39399.22,21820.56,156,115,0.7372,Ride 'Em Cowboys,"(Cowboys a riding,
Lassoes a-flying,
Under the western sky.
And as they ride,
We rise to sing and shout our battle cry!)
Ride, ride, ride, ride,
Ride'em Cowboys,
Right down the field;
Fight! Fight! Fight! Fight!
Fight'em Cowboys, and never yield.
Ride, ride, ride, ride,
Ride on, Cowboys, to victory;
Cross (opponent)'s goal;
Then we'll sing ?O-kla-homa State!?",36.1266,97.0735
Texas,Big 12,Texas Fight,"Walter S. Hunnicutt, James E. King and Burnett Pharr",1923.0,0,1,0,81,65,1,17,0,1,1,0,0,1,0,1,0,4,53CytfvDMSkJHY5PtrcZiD,texas,71467.86,39672.58,150,111,0.74,Texas Fight,"Texas Fight, Texas Fight,
And it’s goodbye to A&M.
Texas Fight, Texas Fight,
And we’ll put over one more win.
Texas Fight, Texas Fight,
For it’s Texas that we love best.
Hail, Hail, The gang’s all here,
And it’s good-bye to all the rest! (YELL)

Yea Orange! Yea White!
Yea Longhorns! Fight! Fight! Fight!
Texas Fight! Texas Fight,
Yea Texas Fight!
Texas Fight! Texas Fight,
Yea Texas Fight!

The Eyes of Texas are upon you,
All the livelong day.
The Eyes of Texas are upon you,
You cannot get away.
Texas Fight, Texas Fight,
For it’s Texas that we love best.
Hail, Hail, The gang’s all here,
And it good-bye to all the rest!",30.285,97.7335
TCU,Big 12,TCU Fight Song,Claude Sammis,1928.0,0,1,0,149,47,1,2,1,0,1,1,0,1,1,0,1,6,0ItcRLvqHlbkaqMCPtQKUl,tcu,31035.65,17870.63,144,109,0.7569,TCU Fight Song,"We'll raise a song, both loud and long
To cheer our team to victory
For TCU, so tried and true
We pledge eternal loyalty
Rah, rah, TCU

Fight on, boys, fight with all your might
Roll up the scores for TCU
Hail, White and Purple flag, whose heroes never lag
Horned Frog, we are all for you",32.7079,97.3628
Texas Tech,Big 12,"Fight, Raiders, Fight",Carroll McMath,1936.0,1,1,0,159,54,1,8,1,0,1,0,0,1,0,0,0,3,3DfKi9Iqvtxf4DIjs8ezTq,texas_tech,40870.71,23217.4,146,98,0.6712,"Fight, Raiders, Fight","Fight, Raiders, Fight! Fight, Raiders, Fight!
Fight for the school we love so dearly.
You'll hit 'em high, you'll hit 'em low.
You'll push the ball across the goal,
Tech, Fight! Fight!

We'll praise your name, boost you to fame.
Fight for the Scarlet and Black.
You will hit 'em, you will wreck 'em.
Hit 'em! Wreck 'em, Texas Tech!
And the Victory Bells will ring out!",33.5845,101.8751
West Virginia,Big 12,Hail West Virginia,"Earl Miller, Ed McWhorter and Fred Deem",1915.0,1,1,0,152,92,0,0,0,0,0,0,0,0,1,0,0,1,1VqZp811UsBJy66R8TTkei,west_virginia,42245.16,23382.01,152,109,0.7171,Hail West Virginia,"Let's give a ""rah"" for West Virginia
And let us pledge to her anew
Others may be black or crimson
But for us, it's Gold and Blue
Let all our troubles be forgotten
Let college spirit rule
We'll join and give our loyal efforts
For the good of our old school

It's West Virginia, it's West Virginia
The pride of every Mountaineer
Come on, you old grads, join with us, young lads
It's West Virginia now, we cheer
Now is the time, boys, to make a big noise
No matter what the people say
For there is naught to fear, the gang's all here
So hail to West Virginia, hail",39.648,79.9697
Illinois,Big Ten,Oskee-Wow-Wow,H.R. Green and H.V. Hill,1910.0,1,1,0,162,60,0,0,1,0,1,1,1,1,1,1,0,6,6C0vaoMxzM21yYgJBmGx5K,illinois,35824.82,20875.3,156,75,0.4808,Oskee-Wow-Wow,"Old Princeton yells her tiger
Wisconsin her varsity
And they give the same old rah, rah, rah!
At each university
But the yell that always thrills me
And fills my heart with joy
Is the good old Oskee-wow-wow
That they yell at Illinois

Oskee-wow-wow, Illinois
Our eyes are all on you
Oskee-wow-wow, Illinois
Wave your Orange and Blue, rah, rah!
When your team trots out before you
Ev'ry man stand up and yell
Back the team to gain a victory
Oskee-wow-wow, Illinois",40.0985,88.2291
Indiana,Big Ten,"Indiana, Our Indiana",Russell P. Harker and Karl L. King,1912.0,1,1,0,150,63,1,1,0,0,0,0,0,1,0,0,1,3,2Wbo5zdRDnq4pOgWL9avaG,indiana,32286.35,17738.07,151,76,0.5033,"Indiana, Our Indiana","Indiana, our Indiana
Indiana, we're all for you
We will fight for the cream and crimson
For the glory of old IU
Never daunted, we cannot falter
In the battle, we're tried and true
Indiana, our Indiana
Indiana, we're all for you",39.1682,86.523
Iowa,Big Ten,Iowa Fight Song,Meredith Willson,1950.0,0,1,0,150,72,1,9,0,1,1,1,0,0,0,0,0,3,604ELPPFgbFlW0SHoEYVJw,iowa,51669.64,29061.01,160,121,0.7562,Iowa Fight Song,"The word is ""Fight! Fight! Fight! for IOWA,""
Let every loyal Iowan sing;
The word is ""Fight! Fight! Fight! for IOWA,""
Until the walls and rafters ring (Go Hawks!)
Come on and cheer, cheer, cheer for IOWA, 
Come on and cheer until you hear the final gun.
The word is ""Fight! Fight! Fight! for IOWA,""
Until the game is won.",41.6627,91.555
Maryland,Big Ten,Maryland Fight Song,Ralph Davis,1939.0,1,1,0,142,56,1,8,1,1,1,0,0,0,0,0,0,3,6PKoPWKJLOBI2K33RkFvbc,maryland,32742.63,18879.01,150,85,0.5667,Maryland Fight Song,"Fight, fight, fight for Maryland,
Honor now her name again,
Push up the score, keep on fighting for more,
For Maryland, GO TERPS!
And we will fight, fight, fight for terrapins,
Keep on fighting 'till we win.
So sing out our song as we go marching along,
To victory!!!",38.9869,76.9426
Michigan,Big Ten,The Victors,Louis Elbel,1898.0,1,1,0,83,122,0,0,0,0,0,0,0,0,0,0,0,0,6wVbHLCBOCqp6052WcWXLG,michigan,85611.95,46006.87,166,132,0.7952,The Victors,"Hail! to the victors valiant
Hail! to the conquering heroes
Hail! Hail! to michigan
the leaders and best!
Hail! To the victors valiant
Hail! to the conquering heroes
Hail! Hail! to michigan
the champions of the west!
Hail! to the victors valiant
Hail! to the conquering heroes
Hail! Hail! to michigan
the champions of the west
Hail! to the victors valiant
Hail! to the conquering heroes
Hail! Hail! to michigan
The champions of the west!!!!!!",42.2771,83.7382
Michigan State,Big Ten,Victory for MSU,Francis Irving Lankey and Arthur L. Sayles,1915.0,1,1,0,145,112,1,6,1,1,1,1,0,1,0,0,1,5,4BSrPApxbeUNPA5Q8LyfMd,michigan_state,55588.49,30677.62,157,103,0.6561,Victory for MSU,"On the banks of the Red Cedar,
There’s a school that’s known to all;
Its specialty is winning,
And those Spartans play good ball;
Spartan teams are never beaten,
All through the game they fight;
Fight for the only colors:
Green and White.

Go right through for MSU,
Watch the points keep growing,
Spartan teams are bound to win,
They’re fighting with a vim!
Rah! Rah! Rah!
See their team is weakening,
We’re going to win this game,
Fight! Fight! Rah! Team, Fight!
Victory for MSU!",42.7251,84.4791
Minnesota,Big Ten,The Minnesota Rouser,Floyd Hutsell,1909.0,0,1,1,151,60,0,0,0,0,0,1,1,0,0,0,1,3,2EeyLSmHKdZulOKGcTpLS0,minnesota,35655.08,20479.45,156,94,0.6026,The Minnesota Rouser,"Minnesota, hats off to thee!
To thy colors, true we shall ever be
Firm and strong, united are we
Rah! Rah! Rah! For Ski-U-Mah!
Rah! Rah! Rah! Rah! Rah for the U of M!


Minnesota, hats off to thee!
To thy colors, true we shall ever be
Firm and strong, united are we
Rah! Rah! Rah! For Ski-U-Mah!
Rah! Rah! Rah! Rah! Rah for the U of M!


M-I-N-N-E-S-O-T-A!
Minnesota, Minnesota!
Yeah, Gophers!",44.974,93.2277
Nebraska,Big Ten,Dear Old Nebraska U.,Harry Pecha,1924.0,1,0,0,136,94,0,0,0,0,0,0,0,0,1,0,0,1,7z2TihIyf3IZR1r0AmI1Ik,nebraska,67280.1,35862.23,165,112,0.6788,Dear Old Nebraska U.,"There is no place like Nebraska,
Dear old Nebraska U.
Where the girls are the fairest,
The boys are the squarest,
Of any old school that I knew.
There is no place like Nebraska,
Where they're all true blue.
We'll all stick together,
In all kinds of weather,
For dear old Nebraska U.",40.8202,96.7005
Northwestern,Big Ten,Go! U Northwestern,Theodore C. Van Etten,1912.0,1,1,0,140,57,1,1,1,1,1,1,0,0,0,0,0,4,4iWO9U49SZ0vvzto7qxRxN,northwestern,24844.82,15822.88,143,78,0.5455,Go! U Northwestern,"Go U Northwestern!
Break right through that line
With our colors flying
We will cheer you all the time
U, rah! rah!
Go! U Northwestern!
Fight for victory
Spread far the fame of our fair name
Go! Northwestern win that game

Go! Northwestern, go!

Go! Northwestern, go!
Hit 'em hard!
Hit 'em low!
Go! Northwestern, go!

Go U Northwestern!
Break right through that line
With our colors flying
We will cheer you all the time
U, rah! rah!
Go! U Northwestern!
Fight for victory
Spread far the fame of our fair name
Go! Northwestern win that game",42.0565,87.6753
Ohio State,Big Ten,Buckeye Battle Cry,Frank Crumit,1919.0,0,1,1,178,89,1,1,1,1,1,0,0,1,1,0,0,5,2faIedehtxwQqYxRRc6T2L,ohio_state,79967.34,44508.15,166,151,0.9096,Buckeye Battle Cry,"In old Ohio there’s a team
That’s known thru-out the land;
Eleven warriors, brave and bold,
Whose fame will ever stand.
And when the ball goes over,
Our cheers will reach the sky,
Ohio field will hear again
The Buckeye Battle Cry-

Drive! Drive on down the field,
Men of the scarlet and gray;
Don’t let them thru that line,
We have to win this game today,
Come on, Ohio!
Smash through to victory.
We cheer you as you go:
Our honor defend
So we’ll fight to the end for O-hi-o.",40.0061,83.0283
Penn State,Big Ten,"Fight On, State",Joseph Sanders,1933.0,0,1,0,145,81,1,5,1,1,1,0,0,1,0,0,1,5,5InlNNfIFQAvCL78VFgR5O,penn_state,77107.32,46598.5,166,128,0.7711,"Fight On, State","Fight on State, Fight on State,
Strike your gait and win,
Victory we predict for thee,
We're ever true to you, dear old White and Blue.
Onward State, Onward State
Roar Lions Roar,
We'll hit that line, roll up the score,
Fight on to victory evermore,
Fight on, on
On, on, on!
Fight on, on,
Penn State!",40.7982,77.8599
Purdue,Big Ten,Hail Purdue,James R. Morrison and Edward S. Wotawa,1912.0,1,1,0,160,86,0,0,1,0,1,0,0,1,0,0,0,2,1bYZgec19T5gQJAUeIzq9W,purdue,39185.94,23732.36,157,80,0.5096,Hail Purdue,"To your call once more we rally
Alma mater, hear our praise
Where the Wabash spreads its valley
Filled with joy, our voices raise
From the skies in swelling echoes
Come the cheers that tell the tale
Of your vict'ries and your heroes
Hail, Purdue, we sing all hail
Hail, hail to old Purdue
All hail to our old gold and black
Hail, hail to old Purdue
Our friendship, may she never lack
Ever grateful, ever true
Thus, we raise our song anew
Of the days we've spent with you
All hail our own Purdue
When in after years we're turning
Alma mater, back to you
May our hearts, with love, be yearning
For the scenes of old Purdue
Back among your pathways winding
Let us seek what lies before
Fondest hopes and aims e'er finding
While we sing of days of yore
Hail, hail to old Purdue
All hail to our old gold and black
Hail, hail to old Purdue
Our friendship, may she never lack
Ever grateful, ever true
Thus, we raise our song anew
Of the days we've spent with you
All hail our own Purdue",40.4237,86.9212
Rutgers,Big Ten,The Bells Must Ring,Richard Hadden and W.E. Sanford,1931.0,1,1,1,75,74,1,10,1,1,1,1,1,1,1,0,1,8,7EdGMXzZjJKNHJaszbWTHi,rutgers,30885.5,19933.12,142,63,0.4437,The Bells Must Ring,"March, men of Rutgers
Down the field today
March to another score
Forward to the fray
Fight, men of Rutgers
As in days gone by
Fight for the Scarlet flag
Over the rest must fly


Keep Rutgers colors to the fore
For they must win, so fight, fight, fight
And we'll advance some more to score
The Rutgers flag flies high tonight, alright, alright
We'll fling the Scarlet banner out
And Rutgers men will fight, fight, fight, fight, fight
The bells of Queens each victory shout
The bells of Queens must ring tonight

RU, rah, rah
RU, rah, rah
Whoo-rah, whoo-rah
Rutgers, rah!
Up stream, Red team
Red team, up stream
Rah, rah, Rutgers, rah

Keep Rutgers colors to the fore
For they must win, so fight, fight, fight
And we'll advance some more to score
The Rutgers flag flies high tonight, alright, alright
We'll fling the Scarlet banner out
And Rutgers men will fight, fight, fight, fight, fight
The bells of Queens each victory shout
The bells of Queens must ring tonight",40.5018,74.4479
Wisconsin,Big Ten,"On, Wisconsin",William Purdy and Carl Beck,1909.0,0,1,0,132,134,1,5,0,1,1,0,0,0,1,0,0,3,4DmMOLdp4ZYvrAqemDBBbJ,wisconsin,59171.26,33653.17,161,126,0.7826,"On, Wisconsin","
On Wisconsin, on Wisconsin!
Plunge right through that line
Run the ball clear down the field, boys
Touchdown, sure this time!


On Wisconsin, on Wisconsin!
Fight on for her fame
Fight, fellows! Fight, fight, fight!
We'll win this game!",43.0755,89.4155
Oregon,Big Ten,Mighty Oregon,DeWitt Gilbert and Albert John Perfect,1916.0,1,1,0,65,80,1,2,1,1,1,0,0,0,1,1,0,5,4zPgdoDF3Od2dwQdPlGJtt,oregon,43568.06,23442.12,155,132,0.8516,Mighty Oregon,"
Oregon, our Alma Mater
We will guard thee on and on
Fellows gather 'round and cheer her
Chant her glory, Oregon!
Roar the praises of her warriors
Sing the story, Oregon
On to victory urge the heroes
Of our Mighty Oregon!


Go! Ducks! Go!
Fight! Ducks! Fight!
Go! Fight!
Win! Ducks! Win!


Oregon, our Alma Mater
We will guard thee on and on
Fellows gather 'round and cheer her
Chant her glory, Oregon!
Roar the praises of her warriors
Sing the story, Oregon
On to victory urge the heroes
Of our Mighty Oregon!",44.0448,123.0726
UCLA,Big Ten,Sons of Westwood, Harold P. Williams and N. Loyall McLaren; Kelly James,1959.0,0,1,0,72,69,1,3,0,0,0,0,0,1,1,1,1,5,0XxQcPAThn9dOZ6NVFUfGl,ucla,46046.21,28551.57,147,92,0.6259,Sons of Westwood,"We are the sons of Westwood, and we hail
the blue and gold,true to thee our hearts will
be, our love will not grow old.

Bruins roam the hills of Westwood, by the
blue Pacific shore, and if by chance they see
a man from USC, every Bruin starts to roar!

U rah rah rah rah,
C rah rah rah rah,
L rah rah rah rah,
A rah rah rah rah

U. C. L. A  FIGHT, FIGHT, FIGHT!",34.0699,118.4438
